"","exit","open.x","high.x","low.x","close.x","volume.x","spotPrice.x","return.x","logReturn.x","Date.x","pred.x","index","side.x","open.y","high.y","low.y","close.y","volume.y","spotPrice.y","return.y","logReturn.y","Date.y","pred.y","exit.y","side.y"
"11",64,1.8897,1.9223,1.8861,1.906,100629,1.906,0.00846560846560851,0.0084299761604594,2019-03-26,0.0225881246240855,60,"buy",1.8827,1.906,1.8786,1.8989,76179,1.8989,0.0100531914893618,0.0100029943073763,2019-04-01,0.00273463387940113,0,"sell"
"12",106,1.92,1.96,1.91,1.94,95056,1.94,0.0157068062827226,0.0155847310166983,2019-05-28,-0.0150675051504741,102,"sell",1.7607,1.7867,1.7288,1.7413,85405,1.7413,-0.0169922095517669,-0.0171382336901456,2019-06-03,-0.00803446045260803,0,"buy"
"13",109,1.8529,1.8557,1.7577,1.7714,85405,1.7714,-0.0424864864864865,-0.0434154446968878,2019-05-31,-0.0141598178799545,105,"sell",1.6938,1.7291,1.6688,1.7076,78064,1.7076,0.00874291115311898,0.00870491321982664,2019-06-06,-0.0277060709656364,0,"buy"
"14",111,1.7344,1.7447,1.6921,1.7242,97892,1.7242,-0.00982024923907432,-0.00986878590951244,2019-06-04,-0.0192587069649311,107,"sell",1.74,1.7591,1.7214,1.7303,74675,1.7303,-0.00494565529932711,-0.00495792552542045,2019-06-10,-0.000196090746873434,0,"buy"
"15",112,1.703,1.7195,1.6625,1.6928,97892,1.6928,-0.0182113443916019,-0.0183792121118444,2019-06-05,-0.0253915481971107,108,"sell",1.7346,1.7646,1.7312,1.7563,71610,1.7563,0.0150262960180316,0.0149145195650873,2019-06-11,0.00210069413810871,0,"buy"
"16",113,1.6938,1.7291,1.6688,1.7076,78064,1.7076,0.00874291115311898,0.00870491321982664,2019-06-06,-0.0277060709656364,109,"sell",1.7466,1.7484,1.6753,1.6861,81800,1.6861,-0.0399703923019985,-0.040791153643755,2019-06-12,0.00110147931699145,0,"buy"
"17",114,1.724,1.7435,1.7018,1.7389,74675,1.7389,0.0183298196298898,0.0181638535042161,2019-06-07,-0.0194323295115493,110,"sell",1.6784,1.735,1.675,1.7199,81800,1.7199,0.0200462606013878,0.0198479797985118,2019-06-13,0.00456497541640308,0,"buy"
"18",125,1.82,1.86,1.8,1.82,146042,1.82,0.00214745884037226,0.0021451563463882,2019-06-24,0.0120387971820979,121,"buy",1.9121,1.9217,1.8754,1.8966,75546,1.8966,-0.00701570680628261,-0.0070404325910484,2019-06-28,0.00597321716204553,0,"sell"
"19",126,1.8217,1.8719,1.8054,1.8436,92833,1.8436,0.0129670329670328,0.012883680775512,2019-06-25,0.0130540429698329,122,"buy",1.9021,1.9653,1.9021,1.9305,76115,1.9305,0.0178740904776971,0.0177162272546641,2019-07-01,0.00141965053232716,0,"sell"
"20",127,1.874,1.9433,1.8677,1.931,126154,1.931,0.0474072466912563,0.0463178215821613,2019-06-26,0.0123420763318291,123,"buy",1.9305,1.9378,1.8645,1.8703,76115,1.8703,-0.0311836311836312,-0.0316801909153367,2019-07-02,0.00344017717280398,0,"sell"
